  PID TTY          TIME CMD
 9877 pts/0    00:00:00 bash
12566 pts/0    00:00:00 sort
12567 pts/0    00:00:00 sort
12747 pts/0    00:00:00 sort
12748 pts/0    00:00:00 sort
12821 pts/0    00:00:00 sort
12822 pts/0    00:00:00 sort
12860 pts/0    00:00:00 sort
12861 pts/0    00:00:00 sort
12947 pts/0    00:00:00 sort
12948 pts/0    00:00:00 sort
13079 pts/0    00:00:00 sort
13080 pts/0    00:00:00 sort
14111 pts/0    00:00:00 sort
14382 pts/0    00:00:00 sort
14504 pts/0    00:00:00 sort
14517 pts/0    00:00:00 sort
14546 pts/0    00:00:00 sort
14748 pts/0    00:00:00 sort
14814 pts/0    00:00:00 sort
14850 pts/0    00:00:00 sort
14872 pts/0    00:00:00 sort
14963 pts/0    00:00:00 sort
15060 pts/0    00:00:00 sort
15075 pts/0    00:00:00 sort
15473 pts/0    00:00:00 sort
15481 pts/0    00:00:00 a.out
15483 pts/0    00:00:00 ps
